metros;price
Китай-город, Кузнецкий мост, Лубянка, Охотный ряд, Площадь Революции, Театральная;372033
Кропоткинская, Парк культуры;369847
Маяковская, Пушкинская, Тверская, Чеховская;340264
Александровский сад, Арбатская, Библиотека имени Ленина, Боровицкая, Смоленская;328753
Новокузнецкая, Полянка, Третьяковская;326759
Спортивная, Фрунзенская;288366
Баррикадная, Выставочная, Деловой центр, Краснопресненская, Международная, Улица 1905 года;284250
Комсомольская, Красные ворота, Сретенский бульвар, Тургеневская, Чистые пруды;272289
Достоевская, Проспект Мира, Сухаревская, Трубная, Цветной бульвар;267208
Курская, Марксистская, Таганская, Чкаловская;262513
Добрынинская, Октябрьская, Павелецкая, Серпуховская;251902
Киевская, Кутузовская, Парк Победы, Студенческая;248880
Ленинский проспект, Шаболовская;235696
Воробьевы горы, Ломоносовский проспект, Раменки, Университет;224056
Белорусская;221998
Проспект Вернадского;216403
Динамо, Петровский парк;209844
Новые Черемушки, Профсоюзная;202062
Аэропорт, Сокол;199683
Бауманская;199361
Полежаевская, Хорошёвская, ЦСКА;195760
Октябрьское поле;195245
Красносельская, Сокольники;193830
Крылатское;192930
Алексеевская, Рижская;192608
Академическая;192287
Беляево, Калужская, Коньково;192158
Марьина роща, Менделеевская, Новослободская, Савеловская;187914
Багратионовская, Минская, Пионерская, Славянский бульвар, Филевский парк, Фили, Шелепиха;183091
Преображенская площадь;182962
Волгоградский проспект, Крестьянская застава, Площадь Ильича, Пролетарская, Римская;177817
ВДНХ;174923
Бутырская, Дмитровская, Тимирязевская, Фонвизинская;168814
Автозаводская, Дубровка, Кожуховская, Технопарк;167399
Войковская;166048
Нагатинская, Нагорная, Тульская;165148
Молодежная;165019
Кунцевская;164891
Тропарево, Юго-Западная;164891
Ботанический сад, Свиблово;164762
Варшавская, Каховская, Нахимовский проспект, Севастопольская;162447
Измайловский парк, Партизанская, Семеновская, Электрозаводская;162061
Спартак, Тушинская, Щукинская;160196
Коломенская;159939
Строгино;159682
Измайловская, Первомайская;158331
Чертановская, Южная;156016
Мичуринский проспект, Озёрная;154858
Речной вокзал, Ховрино;151450
Авиамоторная, Шоссе Энтузиастов;150485
Кузьминки, Текстильщики;149006
Бульвар Рокоссовского, Улица Подбельского, Черкизовская;147399
Планерная, Сходненская;143411
Владыкино, Окружная, Петровско-Разумовская;143283
Медведково;141739
Водный стадион;141482
Битцевский парк, Новоясеневская, Ясенево;141160
Бабушкинская;140582
Отрадное;139103
Перово;138524
Аннино, Пражская, Улица академика Янгеля;138524
Волоколамская, Митино, Мякинино, Пятницкое шоссе;138009
Бибирево;137238
Кантемировская, Каширская, Царицыно;134601
Домодедовская, Орехово;133379
Печатники;133379
Новогиреево;131707
Щелковская;131514
Волжская, Люблино;131450
Рязанский проспект;131321
Верхние Лихоборы, Селигерская;131321
Алтуфьево;130742
Братиславская, Марьино;130485
Алма-Атинская, Борисово, Зябликово, Красногвардейская, Шипиловская;130099
Теплый Стан;129134
Бульвар Дмитрия Донского, Лесопарковая, Улица Старокачаловская;127462
Говорово, Румянцево, Солнцево;127334
Жулебино, Котельники, Лермонтовский проспект;124633
Новокосино;124568
Выхино;118330
Боровское шоссе, Новопеределкино, Рассказовка, Саларьево;118330
Бульвар адмирала Ушакова, Бунинская аллея, Улица Горчакова, Улица Скобелевская;116337
